notes,target
"On April 1, around 150 guardians and students of Shyamdihi Primary School in Burnpur area in Asansol city (Paschim Bardhaman, West Bengal) started an indefinite dharna and called for a poll boycott to protest the transfer of a teacher. Over 1,200 local people joined the protest. [size=1200]",Protests
"On April 1, half a dozen houses of BJP workers were vandalized by suspected Trinamul activists in Bardiha village in Bolpur area (Birbhum, West Bengal), following a quarrel over fixing party flags to roadside trees and electric posts. Later, the house of a Trinamul worker was also vandalized. [size=no report]",Riots
"On April 1, a group of Trinamul supporters staged a protest and gheraoed the party MLA and the Dinhata 2 block president, in Dinhata area (Cooch Behar, West Bengal), against the presence of at least three lobbies within the party in the area, which had led to rise of dissidents and had sparked violence. [size=no report]",Protests
"On April 1, residents staged a protest and stopped transportation of coal from a mine of Eastern Coalfields Limited (ECL), in Kulabani village in Laodoha area (Paschim Bardhaman, West Bengal), alleging road damage because of plying of heavy coal-laden trucks. They demanded immediate repair by the ECL. [size=no report]",Protests
"On 1 Apr, in Madkai in Ponda tehsil (North Goa, Goa), a clash occurred between Mahajans and the locals at the Navdurga Temple over a longstanding dispute of ownership of and replacement of old gods of the temple. [size=no report]",Riots
"On 1 April, a former INLD leader was shot and killed by unidentified persons on Gurgaon road in Jhajjar city (Haryana). The motive for the attack is not clear but may be linked to an only enmity.",Violence against civilians
"On 1 April, a group of villagers damaged a liquor vend and set its stock on fire in Nindana village (Rohtak, Haryana) to oppose its presence in the village. [size=no report]",Riots
"On 1 Apr, at Kadri in Mangaluru city (Dakshina Kannada, Karnataka), Congress members staged a protest at the Vijaya Bank Mallikatte branch against the merger of Vijaya Bank with Bank of Baroda. [size=no report]",Protests
"On 1 Apr, in Channarayapatna taluk (Hassan, Karnataka), residents of Mathighatta and Juttanahalli Gram Panchayats took out a bike rally from Mathighatta to neighbouring villages to protest and demand water for the tanks in the two panchayats. [size=no report]",Protests
"On 1 Apr, in Thiruvananthapuram (Thiruvananthapuram, Kerala), SFI students staged a demonstration at the University of Kerala at Palayam demanding the postponement of an examination which was scheduled for April 4 and 6. The police were deployed and blocked a few students who attempted to barge into the building. [size=no report]",Protests
"On 1 April, an AAP candidate joined an ongoing demonstration by former SGPC employees in Amritsar city (Punjab). The workers who have been on a chain hunger strike since March 28, held placards demanding reinstatement. [size=no report]",Protests
"On 1 April, Powercom employees demonstrated in front of the Powercom office in Goniana town (Bathinda, Punjab) to oppose the alleged inaction of the police against villagers who had held their colleagues captive during a raid. [size=no report]",Protests
"On 1 April, residents demonstrated in Kot Shamir village (Bathinda, Punjab) to demand that a liquor vend be removed from the village. [size=no report]",Protests
"On 1 April, residents of Ward No. 28 demonstrated and continued their chain hunger strike for the 3rd day at the MC Zone B office in Ludhiana city (Punjab). The demonstrators are demanding that overflowing drains in their neighbourhood be fixed. [size=no report]",Protests
"On 1 April, an unmanned Aerial Vehicle and at least four F-16 Pakistani Air Force jets were detected near Khem Karan town (Tarn Taran, Punjab). The Indian Air Force sent its Sukhoi-30MKIs and Mirage 2000 fighter jets in response.",Other
"On 1 Apr, in Thoothukudi (Thoothukudi, TN), the fishing community staged a road blockade on the South Beach road when their demand for the registration of mechanised boats was not met. They earlier staged a dharna in front of the office of Assistant Director of Fisheries demanding the same. [size=150]",Protests
"On 1 April, farmers held a protest against the government at Padadhari in Rajkot district (Gujarat) over the issue of non payment of crop insurance claims. Police baton charged the protestors. [size=no report]",Protests
"On 1 April, in an incident of pre-poll violence, two persons sustained critical injuries when they were shot at over a political rivalry at Kantalabai village (Khorda district, Odisha).",Violence against civilians
"On 1 April, two groups clashed in Rajeev Nagar in Balangir district (Odisha) over a past enmity. Report indicates the use of sharp weapons and resulted in the critical injuries including the chopping on a persons palm.",Other
"On 1 Apr, JWAM led a protest by local traders in Jammu city (J&K) against the Jammu Municipal Corporation and the ERA sewerage network for the poor condition of sanitation in the area. [size=large numbers]",Protests
"On 1 Apr, residential property damage was reported when Indian and Pakistani forces exchanged fire across the LoC in the Shahpur sector area (Poonch, J&K). 17 people were injured in shelling in various sectors in Poonch district.",Other
"On 1 Apr, a five year-old Indian girl was killed when Indian and Pakistani forces exchanged fire across the LoC in the Bandi Checkiyan sector area (Poonch, J&K). 17 people were injured in shelling in various sectors in Poonch district.",Other
"On 1 Apr, a BSF officer was killed and three Indian civilians injured when Indian and Pakistani forces exchanged fire across the LoC in the Mankote sector area (Poonch, J&K). 17 people were injured in shelling in various sectors in Poonch district.",Other
"On 1 Apr, seven Indian civilians were injured when Indian and Pakistani forces exchanged fire across the LoC in the Mendhar sector area (Poonch, J&K). 17 people were injured in shelling in various sectors in Poonch district.",Other
"On 1 Apr, an Indian woman was killed and her son injured when Indian and Pakistani forces exchanged fire across the LoC in the Balnoi sector area (Poonch, J&K). 17 people were injured in shelling in various sectors in Poonch district.",Other
"On 1 Apr, local unemployed youth staged a protest dharna and blocked construction work at Ramsoo village (Ramban, J&K) over the Hindustan Construction Company's failure to recruit locals for ongoing construction work on Srinagar-Jammu National Highway. [size=hundreds]",Protests
"On 1 Apr, residential property damage was reported when Indian and Pakistani forces exchanged fire across the LoC in the Krishna Ghati sector area (Poonch, J&K). 17 people were injured in shelling in various sectors in Poonch district.",Other
"On 1 Apr, casual workers from the Public Health and Engineering Department and Irrigation and Flood Control Department staged a protest at Pratap Park in Srinagar city (J&K), demanding the release of unpaid wages. [size=scores]",Protests
"On 1 Apr, Indian and Pakistani forces exchanged fire across the LoC in the Qasbah sector area (Poonch, J&K).",Other
"On 1 Apr, Indian and Pakistani forces exchanged fire across the LoC in the Balakote sector area (Poonch, J&K).",Other
"On 1 Apr, Indian and Pakistani forces exchanged fire across the LoC in the Dobraj sector area (Poonch, J&K).",Other
"On 1 Apr, Indian and Pakistani forces exchanged fire across the LoC in the Sagra sector area (Poonch, J&K).",Other
"On 1 Apr, Indian and Pakistani forces exchanged fire across the LoC in the Akhnoor sector area (Jammu, J&K).",Other
"On 1 Apr, erstwhile Doda Migrant Committee members staged a protest outside the relief commissioner's office in Jammu city (J&K), demanding relief on par with displaced Kashmiris. [size=large number]",Protests
"On 1 Apr, undergraduate students staged a protest at the Press Colony in Srinagar city (J&K), demanding syllabus relief. [size=no report]",Protests
"On 1 Apr, local residents staged a protest at an unknown location in Poonch district (J&K) against the local administration of an absences of arrangements to shift injured people to hospitals amid cross-border shelling in the district. [size=no report]",Protests
"On 1 Apr, families of the victims of a car crash staged a protest at the district hospital in Rajouri town (J&K) against the unavailability of doctors at the hospital. [size=no report]",Protests
"On April 1, a retired teacher and Leftist supporter was beaten by BJP workers in front of his house at Giridhari Para in Belonia city (South Tripura, Tripura). His family members were also attacked, and two persons were critically injured. [size=no report]",Riots
"On April 1, around 50 Sikkim Krantikari Morcha (SKM) youth cadres attacked with knives, iron rods and metal pipes a Youth Convenor of the SDF and his two brothers, in Namchi police station area (South Sikkim, Sikkim), ahead of the Parliamentary elections.",Violence against civilians
"On April 1, an inmate of the Rehabilitation Centre (New Life) was beaten to death inside the centre at Torbung Bangla village (Churachandpur, Manipur).",Violence against civilians
"On April 1, locals assaulted a driver in Margherita Tea Estate Tiniali in Margherita city (Tinsukia, Assam), after seven tea-garden workers sustained severe injuries in a road accident. [size=no report]",Riots
"On April 1, a Bhutanese truck driver was attacked and suffered injuries after a mob of Indians attacked him in Deosuri city (Chirang, Assam), after he hit and injured an eight-year-old Indian boy while driving. [size=no report]",Riots
"On April 1, around 2000 youths took out a candlelit procession in Port Blair city (South Andaman, Andaman and Nicobar), demanding justice in the murder of two young girls, on March 28. [size=2000]",Protests
"On 1 Apr, in Visakhapatnam (Visakhapatnam, AP), parents of students studying in Timpany School staged a protest and hunger strike against the school management hiking fees by 30 to 40 per cent. [size=10]",Protests
"On 1 Apr, in Belagavi area (Belgaum, Karnataka), supporters of the Katti brothers of the BJP staged a protest in Bellad Bagewadi and demanded that one of them (Ramesh) run as an independent candidate for the upcoming general elections after the BJP denied the brothers a party ticket. [size=no report]",Protests
"On 1 Apr, in Hyderabad (Hyderabad, Telangana), a mob of 20 people assaulted three people for feeding stray dogs at Diamond Hills Colony in Moula Ali on Monday. One of the victims, a woman, was touched inappropriately during the assault. [size=no report]",Riots
"Around 1 April, groups armed with knives and axes clashed with each other in Bhuj district (Gujarat). Reason not reported.",Other
"On 1 April, candidates who failed in their Intermediate exams, staged a protest outside the Bihar School Examination Board's (BSEB) office in Patna city (Bihar) raising slogans against board chairman Anand Kishor. [size=100]",Protests
"On 1 April, students at the Savitribai Phule Pune University (SPPU) held an agitation on the campus in Pune city (Maharashtra)to protest against 'no sharing of thali' policy introduced at the refectory. [size=no report]",Protests
"On 1 Apr, in Kozhikode city (Kozhikode, Kerala), a group of transgender rights activists staged a candlelight protest at Mananchira demanding protection for the community and a detailed probe into the death of a transgender person in the area. [size=no report]",Protests
"On April 1, BJP workers vandalized the house and the bike of a contractor and also BJP supporter in Kamalpur panchayat area (Dhalai, Tripura), after he denied the payment of a subscription money for Basanti Puja to a BJP leader. [size=hundreds]",Riots
"On April 1, the Sabroom BJP Mandal President assaulted and beat a doctor with shoes at the Srinagar Primary Health Centre in Srinagar village in Sabroom area (South Tripura, Tripura), while the medic was on duty. The BJP leader barged into the hospital when the doctors were attending patients. When one of them protested, he was assaulted. [size=1]",Violence against civilians
"On 1 Apr, in Alappuzha district (Kerala), a mob of 15 people prevented police officers from arresting an advocate and accused in a sexual assault case. The advocate alleged that police officers attacked him and damaged equipment in his office during the raid. [size=15]",Riots
"On 1 Apr, in Periyapattinam (Ramanathapuram, TN), an AIADMK functionary suffered head injuries when a man hurled an empty glass bottle at the campaign van of a BJP candidate for the upcoming general elections. [size=no report]",Riots
"On April 1, around 50 to 60 suspected Congress supporters, armed with hammers and daos (swords), assaulted a senior BJP leader when he was in his car travelling from Sangram to Nyapin area (Kurung Kumey, Arunachal Pradesh), during his election campaign. He was protected by his private security officer.",Other
"Between 25 March and 31 March, a suspected militant cell was busted, weapons were seized and 5 persons arrested assumed in the Mohali area (Punjab state) by the police.",Other
"Between 25 March and 31 March, officials affiliated with the Airports Authority Officer's Association held a demonstration near the office in Delhi (NCT of Delhi) to oppose the recruiting of unqualified persons to man the CNS system. [size=no report]",Protests
"On 31 Mar, locals clashed with JKNC activists during a demonstration against district authorities over their failure to upgrade the local high school to higher secondary school. Locals torched JKNC flags during the clash. [size=no report]",Riots
"On 31 March, Hindu and Muslim groups clashed in Viramgam town of Ahmedabad district (Gujarat). The incident occurred over the hanging of laundry of the wall of a graveyard. Report does not indicate the use of weapons. [size=no report]",Riots
"On 31 Mar, in Maharajapuram area in Viluppuram (Viluppuram, TN), residents staged a protest against the installation of a telecom tower by Bharati Airtel telecommunications company over fear of radiation. [size=500]",Protests
"On March 31, BJP and BJPYM workers staged a protest outside the police station in Burdwan city (Purba Bardhaman, West Bengal), after a clash with TMC workers in Baburbagh area, when they were campaigning for the April 3 rally of the Prime Minister. They demanded the arrest of a TMC leader. [size=no report]",Protests
"On March 31, BJP supporters attacked the INC district and block presidents and others in Kalyanpur (Khowai, Tripura). There had been reports of violent attacks in the state ahead of the Parliamentary elections. [size=no report]",Riots
"On March 31, there was a clash between BJP and BJP Yuva Morcha workers with TMC workers in Baburbagh in ward no. 27 of Burdwan city (Purba Bardhaman, West Bengal), as they were campaigning for the April 3 rally of the Prime Minister. Two BJP supporters were injured. [size=no report]",Riots
"On 31 Mar, in Chintamani in Mettur tehsil (Salem, TN), an AIADMK MLA slapped a party worker for questioning a PMK leader during a party rally for the upcoming general elections. The party worker was forced outside the rally by private security. Other PMK members later assaulted the party worker (other source reported it occurred in Olapatti village, Dharmapuri). [size=no report]",Riots
"On 31 Mar, in Alappad in Karungappally (Kollam, Kerala), protesters, including a Magsaysay award winner, gathered on the completion of the 150-day hunger strike of villagers (which started on 1 Nov 2018) to demand an end to mining activities in the village. Day 150 [size=no report]",Protests
"On 31 March, members of the Democratic Teachers' Front shouted slogans and held a dharna in front of the district Treasury Department in Bathinda city (Punjab) to demand the release of their salaries for February. [size=no report]",Protests
"On 31 March, OP Bansal Modern School staff members were assaulted by a group of outsiders at the school in Mandi Gobindgarh town (Fatehgarh Sahib, Punjab). No motive or injuries were reported, and following the assault the teachers took strike action. [size=no report]",Riots
"On 31 Mar, in Tirunelveli district (TN), two groups of youths from Kottaiyadi and Paraiyadi clashed over an argument during an AIADMK meeting for preparations for the upcoming general elections, injuring 3 youths. One of the two groups was armed with sickles. [size=40]",Riots
"On 31 Mar, in Tirunelveli district (TN), a group of AIADMK-affiliated youths from Paraiyadi went to Kottaiyadi and smashed three cars, two auto rickshaws and six bikes. The violence occurred in response to a clash between two groups from Paraiyadi and Kottaiyadi during an AIADMK meeting for preparations for the upcoming general elections. [size=40]",Riots
"On 31 Mar, in Tirunelveli district (TN), a supporter of a DMK Tirunelveli city district secretary was allegedly attacked with an iron rod by four assailants allegedly due to an intra-party feud.",Violence against civilians
"On March 31, a group of Trinamul workers set fire to a few BJP flags in Bardiha village in Bolpur area (Birbhum, West Bengal), which were put up on trees and electric posts in the area. [size=no report]",Riots
"On 31 March, members of the Congress sat on a dharna at the party headquarters in Bhubaneshwar city (Odisha) to protest an attack on Mahila Congress President Sumitra Jena by unidentified people. [size=no report]",Protests
"On 31 March, unidentified men attacked Congress leader and Odisha Mahila Congress President Sumitra Jena at the party office in Bhubaneshwar city (Odisha). [size=no report]",Riots
"On 31 Mar, Indian and Pakistani forces exchanged fire across the LoC in the Naushera sector area (Rajouri, J&K).",Other
"On 31 Mar, local unemployed youth staged a protest dharna and blocked construction work at Ramsoo village (Ramban, J&K) over the Hindustan Construction Company's failure to recruit locals for ongoing construction work on Srinagar-Jammu National Highway. [size=hundreds]",Protests
"On 31 Mar, the NSF led a student protest in Jammu city (J&K) against alleged financial impropriety and corruption in the administration of the Central University of Jammu. [size=no report]",Protests
"On 31 Mar, erstwhile Doda Migrant Committee members staged a protest outside the relief commissioner's office in Jammu city (J&K), demanding relief on par with displaced Kashmiris. [size=no report]",Protests
"On March 31, hundreds of contractors and government officials staged a protest in Diphu city (Karbi Anglong, Arunachal Pradesh), against non-release of their pending bills and government cheques issued by finance department of Karbi Anglong Autonomous Council. [size=hundreds]",Protests
"On March 31, a private bolero vehicle of the Zilla Panchayat leader and SDF member was vandalized by SKM workers at Perbing village (South Sikkim, Sikkim), ahead of the Parliamentary elections. [size=no report]",Riots
"On March 31, students of Lilong Haoreibi Higher Secondary Madrassa formed a human chain in front of the school in NH-102, in Haoreibi village (Thoubal, Manipur), after a police constable died during interrogation in police custody, on March 30. The policeman had been suspended and arrested in connection with the escape of an under trail prisoner on March 26. [size=no report]",Protests
"On March 31, students and staff of Thambal Academy, Lilong Haoreibi Makha Leikai, located in Samurou village (Imphal West, Manipur), formed a human chain in protest, after a police constable died during interrogation in police custody, on March 30. The policeman had been suspended and arrested in connection with the escape of an under trail prisoner on March 26. [size=no report]",Protests
"On March 31, members of the Joint Action Committee staged a sit-in-protest in front of Yairipok Azad Hr. Sec. School, in Yairipok city (Thoubal, Manipur), after a police constable died during interrogation in police custody, on March 30. The policeman had been suspended and arrested in connection with the escape of an under trail prisoner on March 26. [size=dozens/picture]",Protests
"On 31 Mar, in Bagalur (Bengaluru Urban, Karnataka), relatives of deceased victims of a film shooting stunt accident, supported by the Karnataka Rakshana Vedike (KRV), staged a protest march from Bagalur Circle to the Bagalur police station, demanding the arrest of those responsible for the accident. [size=no report]",Protests
"On 31 Mar, in Bengaluru area (Bengaluru Urban, Karnataka), residents of Munnekolala near Marathahalli staged a protest near the railway line, demanding the implementation of a better garbage disposal system by the Bruhat Bengaluru Mahanagara Palike (BBMP). [size=no report]",Protests
"On 31 March, residents of New Panvel in Navi Mumbai (Maharashtra) gathered near the Cidco water tank premises, Sector 3 demanding regular water supply. [size=no report]",Protests
"On 31 March, workers of the Congress and the BJP scuffled during the shooting of a TV show in Ahmedabad city (Gujarat). [size=no report]",Riots
"On 31 March, people from Vijay Nagar area staged a protest at the residence of Madhya Pradesh Home Minister Bala Bachchan in Indore city (MP) against the proposed relocation of a liquor outlet from beside MR-10 main road to a newly-constructed building within a densely-populated residential area. [size=hundreds]",Protests
"On March 31, BJP workers attacked an INC road-show at Tulamura market, located in Garji RF village, in Udaipur area (Gomati, Tripura). The Congress workers retaliated. At least ten motorbikes were vandalized and three Congress supporters were injured. There had been reports of violent attacks in the state ahead of the Parliamentary elections. [size=no report]",Riots
"On March 31, Congress supporters staged a protest in front of R K Puram police station in Udaipur city (Gomati, Tripura), after a candidate was attacked by BJP supporters, ahead of the Parliamentary elections. [size=no report]",Protests
"On March 31, INC election agents were stopped and chased away by suspected BJP workers during a roadshow, in Kharung village (Arunachal Pradesh), ahead of the Parliamentary elections. [size=no report]",Riots
"Between the last week of Mar and first week of Apr, villagers of Saruguvalayapatti staged a road blockade demanding drinking water and other basic amenities. [size=no report]",Protests
"On March 30, the CPI-M held a protest rally in Agartala city (West Tripura, Tripura), demanding action against BJP leaders responsible for violation of model code of conduct ahead of the Parliament elections. [size=no report]",Protests
"On 30 Mar, suspected militants clashed with state forces during a joint RR, CRPF and SOG ASO at Tangpawa village (Anantnag, J&K).",Other
"On March 30, a BJP leader was beaten by BJP workers in an episode of intra-party dispute in Belonia city (South Tripura, Tripura). Central forces controlled the situation. There had been reports of violent attacks in the state ahead of the Parliamentary elections. [size=no report]",Riots
"On 30 Mar, a CRPF jawan was injured when suspected militants launched a grenade attack on a CRPF bunker in the main chowk in Pulwama town (J&K).",Other
"On March 30, suspected BJP supporters attacked a CPI-M leader and member of the Autonomous District Council (ADC), in Paschim Pahari village in Belonia area (South Tripura, Tripura). They later burnt the CPI-M party office in the village. [size=no report]",Riots
"On 30 Mar, suspected militants shot a man dead in the main chowk of Baramulla district town (J&K).",Violence against civilians
"On 30 Mar, a local patwari attacked an off-duty police constable with a sharp-edged weapon at Sarthal in the Kishtwar town area (J&K) over a land dispute. The policeman received an injury to his arm.",Violence against civilians
"On 30 Mar, two youths on a motorcycle were injured when members of the army opened fire on them at Bandzoo village (Pulwama, J&K). The youths had allegedly ignored a sign to stop.",Violence against civilians
"On 30 Mar, the Kashmir Public Health Engineering Joint Employees Association (KPHEJEA) staged a protest in Srinagar city (J&K) against the government for failing to release unpaid wages. [size=no report]",Protests
"On 30 Mar, a CRPF vehicle received minor damage when an HM militant triggered an IED inside a vehicle. The militant was targeting a CRPF convoy on the Jammu-Srinagar National Highway at Banihal town (Ramban, J&K). No injuries were reported and the militant fled the scene.",Other
"On 30 Mar, a policeman was injured when rioting locals clashed with a police party at Hakbara village (Bandipora, J&K). The police had been attempting to conduct a raid on a house in the village. [size=no report]",Riots
"On 30 March, KSC members and activists demonstrated outside the home of a Cabinet Minister in Amritsar city (Punjab) as part of an ongoing agitation. The farmers have been pressing for several demands including loan waivers and the implementation of the Swaminathan Commission's recommendations. [size=no report]",Protests
"On 30 Mar, Indian and Pakistani forces exchanged fire across the LoC in the Mendhar sector area (Poonch, J&K).",Other
"On 30 March, KSC members and activists demonstrated outside the home of a MLA in Tarn Taran city (Punjab) as part of an ongoing agitation. The farmers have been pressing for several demands including loan waivers and the implementation of the Swaminathan Commission's recommendations. [size=no report]",Protests
"On 30 Mar, Indian and Pakistani forces exchanged fire across the LoC in the Balakote sector area (Poonch, J&K).",Other
"On 30 March, approximately 105 residents of a juvenile facility clashed in Maduban locality (Karnal, Haryana) following an argument between two residents. Four persons were injured and rioters damaged equipment and set furniture on fire. [size=105]",Riots
"On 30 Mar, Indian and Pakistani forces exchanged fire across the LoC in the Mankote sector area (Poonch, J&K). An Indian civilian was injured and two houses damaged in the exchange.",Other
"On 30 March, two groups clashed over the drainage of dirty water in Lisana village (Rewari, Haryana). Two persons were stabbed with knives and killed, and four others injured in the clash.",Other
"On 30 Mar, Indian and Pakistani forces exchanged fire across the LoC in the Balnoi sector area (Poonch, J&K).",Other
"On 30 Mar, Indian and Pakistani forces exchanged fire across the LoC in the Krishna Ghati sector area (Poonch, J&K).",Other
"On 30 March, members of the Sikh community demonstrated in Kurukshetra city (Haryana) to demand that Sikhs be allowed to carry articles of faith inside exam halls. [size=no report]",Protests
"On 30 Mar, relatives of a deceased man and villagers from the Mankote area staged a protest in Mendhar town (Poonch, J&K), accusing the police of derailing an investigation into the man's alleged murder. [size=large number]",Protests
"On 30 Mar, DF and Shiv Sena activists staged a protest in Jammu city (J&K) against the INC for referring to the 2007 Samjotha Express blast as an act of 'Hindu terrorism'. [size=no report]",Protests
"On 30 March, a massive amount of members of the Theka Mulazim Sangharsh Morcha demonstrated outside the district courts complex in Ludhiana city (Punjab). Demonstrators demanded service regularisation among other demands. [size=massive]",Protests
"On 30 March, several student organisations demonstrated at Panjab University in Chandigarh city (Chandigarh) to oppose the restriction of wearing or carrying articles of faith in the exam centre. [size=no report]",Protests
"On 30 March, Sikh Sadhbhawna Dal activists demonstrated outside the Teja Singh Samundari Hall in Amritsar city (Punjab) to oppose a budget passed by the Shiromani Gurudwara Parbhandk Committee. There were concerns that employees issues were not taken seriously. [size=no report]",Protests
"On 30 Mar, in Belagavi, the Maharashtra Ekikaran Samiti (MES) staged a protest before the Deputy Commissioner's office demanding a copy of nomination papers in Marathi language. The MES also plans to field as many as 101 nominees for the upcoming general elections with plans to resolve the Maharastra-Karnataka border issue. [size=no report]",Protests
"On 30 Mar, in Kochi tehsil (Ernakulam, Kerala), fishermen staged a protest against a Congress MP who posted insulting remarks about fishermen on social media (Twitter). [size=no report]",Protests
"On 30 Mar, in Kollam district (Kerala), fishermen staged a protest against a Congress MP who posted insulting remarks about fishermen on social media (Twitter). [size=no report]",Protests
"On 30 Mar, in Kozhikode district (Kerala), fishermen staged a protest against a Congress MP who posted insulting remarks about fishermen on social media (Twitter). [size=no report]",Protests
"On 30 Mar, in Belur (Hassan, Karnataka), Congress workers damaged furniture during a party workers meeting to express their disapproval about the decision of the party to campaign for JDS candidates in their area for the upcoming general elections. [size=no report]",Riots
"On 30 Mar, in Tamil Nadu state, the President and members of Bharatiya Forward Bloc (BFB), a splinter of the AIFB, raised slogans and protested inside a domestic plane flying from Madurai to Chennai, demanding the name of 'Madurai' be changed to 'Muthuramalinga Devar'. Police arrested the President at the Madurai airport. [size=12]",Protests
"On 30 Mar, locals staged a protest in Pathana Tir village (Poonch, J&K) staged protest against district authorities over their failure to upgrade the local high school to higher secondary school. [size=no report]",Protests
"On March 30, suspected militants shot dead a former Zila Parishad Member (ZPM) at Nginu village under Wakka circle area (Longding, Arunachal Pradesh), while he returned home after attending an election campaign. Sources claimed the victim was an active member of the BJP.",Violence against civilians
"On March 30, hundreds of workers under the All Assam Mid-Day Meal Worker' Union staged a protest in Kahilipara area in Guwahati city (Kamrup Metropolitan, Assam), against the privatization of mid-day meals provision. They demanded for job security and remuneration of Rs 5000 per month. [size=hundreds]",Protests
"On 30 Mar, in Rayasandra area in Anekal tehsil (Bengaluru Urban, Karnataka), residents of Rayasandra staged a protest demanding better roads, power supply and water facilities. [size=100]",Protests
"On 30 March, a statue of Maharaja Agrasen was vandalised in Delhi Gate locality in Jhajjar city (Haryana). [size=no report]",Riots
"On 30 Mar, in the Neyyattinkara area (Thiruvananthapuram, Kerala), unidentified rioters damaged houses and vehicles of SFI and ABVP students of the VTM NSS College. The CPI-M accused the BJP for the attack but this has not been confirmed. [size=no report]",Riots
"On 30 Mar, in Thiruvananthapuram district (Kerala), unidentified rioters damaged houses and vehicles of SFI and ABVP students of the VTM NSS College. The CPI-M accused the BJP for the attack but this has not been confirmed. [size=no report]",Riots
"On 30 March, a large number of residents demonstrated in Tarn Taran city (Punjab) to oppose the demolition of the Darshani Deori shrine. Although demonstrators exchanged heated words with Kar Sewa activists, there were no report of violence. [size=large number]",Protests
"On 30 March, members of 'Jatha Sirlath Khalsa' and other Sikh activists held a dharna in front of the Darshani Deori in Tarn Taran city (Punjab) to oppose the demolition of the shrine. [size=no report]",Protests
"On 30 Mar, near Sulur (Coimbatore, TN), a group of women blocked the Chettipalayam-Palladam road, demanding water supply which has not been supplied in the area for the past 20 days. [size=no report]",Protests
"On 30 March, police recovered two bags containing a tiffin bomb (explosives packed in a tiffin box), a locally-made hand grenade, three 'arrow bombs' (arrows with grenades attached to the tip), three gelatin rods and an electronic detonator from 3 arrested Communist Party of India (Maoist) members in Dantewada district (Chhattisgarh).",Other
"On 30 Mar, local unemployed youth staged a protest dharna and blocked construction work at Ramsoo village (Ramban, J&K) over the Hindustan Construction Company's failure to recruit locals for ongoing construction work on Srinagar-Jammu National Highway. [size=hundreds]",Protests
"On 30 Mar, erstwhile Doda Migrant Committee members staged a protest outside the relief commissioner's office in Jammu city (J&K), demanding relief on par with displaced Kashmiris. [size=no report]",Protests
"On March 30, there was a factional clash between the NSCN-IM and Zeliangrong United Front (ZUF) cadres in Toudaijang village in Khoupum valley area (Noney, Manipur). The NSCN-IM cadres entered the area, which is a ZUF stronghold, escorting supporters. They were chased and exchanged fire with ZUF cadres.",Other
"On March 30, a police constable died during interrogation in police custody, in Imphal city (Imphal West, Manipur). The policeman had been suspended and arrested in connection with the escape of an under trail prisoner on March 26.",Violence against civilians
"On March 30, employees of the Cachar Paper Mill protested in front of its office at Panchgram village (Hailakandi, Assam), against the negligence of the government to revive two defunct paper mills in the state. [size=no report]",Protests
"On March 30, a huge number of INC party workers and supporters gathered at Lokapriya Gopinath Bordoloi International (LGBI) airport, in Guwahati city (Kamrup Metropolitan, Assam), to greet the Congress candidate for Barpeta constituency. The party workers assaulted journalists covering the arrival. [size=huge]",Riots
"On March 30, over 100 residents vandalized the premises of Nandajhar high school at Goalpokhor village in Islampur area (Uttar Dinajpur, West Bengal), after a girl was hit by a cricket bat that came off another student's hand during a game. Two teachers were also assaulted. The police controlled the mob. [size=100]",Riots
